E, GeV Flux >E, particles/m^2 sr s 
pi=3.14159, detectorR=1.25 [m] , detectorS=19.635 [m2], time=0.000128 [sec]
1: E=0.082 [GeV], nEvents=20.2236
2: E=0.095 [GeV], nEvents=3.19911
3: E=0.1 [GeV], nEvents=1.22406
4: E=0.11 [GeV], nEvents=2.43416
5: E=0.12 [GeV], nEvents=2.4205
6: E=0.13 [GeV], nEvents=2.392
7: E=0.15 [GeV], nEvents=4.75309
8: E=0.16 [GeV], nEvents=2.36164
9: E=0.17 [GeV], nEvents=2.33288
10: E=0.19 [GeV], nEvents=4.60455
11: E=0.21 [GeV], nEvents=4.5718
12: E=0.22 [GeV], nEvents=2.25247
13: E=0.24 [GeV], nEvents=4.43718
14: E=0.26 [GeV], nEvents=4.33547
15: E=0.29 [GeV], nEvents=6.40456
16: E=0.31 [GeV], nEvents=4.16907
17: E=0.34 [GeV], nEvents=6.1538
18: E=0.36 [GeV], nEvents=4.00762
19: E=0.39 [GeV], nEvents=5.8284
20: E=0.43 [GeV], nEvents=7.58208
21: E=0.46 [GeV], nEvents=5.50592
22: E=0.5 [GeV], nEvents=7.11887
23: E=0.54 [GeV], nEvents=6.89526
24: E=0.58 [GeV], nEvents=6.68233
25: E=0.62 [GeV], nEvents=6.43393
26: E=0.67 [GeV], nEvents=7.74707
27: E=0.72 [GeV], nEvents=7.46778
28: E=0.77 [GeV], nEvents=7.14381
29: E=0.83 [GeV], nEvents=8.22011
30: E=0.89 [GeV], nEvents=7.83755
31: E=0.96 [GeV], nEvents=8.77713
32: E=1.02 [GeV], nEvents=7.17987
33: E=1.09 [GeV], nEvents=7.95993
34: E=1.17 [GeV], nEvents=8.65041
35: E=1.25 [GeV], nEvents=8.18185
36: E=1.34 [GeV], nEvents=8.78105
37: E=1.42 [GeV], nEvents=7.35948
38: E=1.52 [GeV], nEvents=8.70066
39: E=1.62 [GeV], nEvents=8.24568
40: E=1.72 [GeV], nEvents=7.77649
41: E=1.83 [GeV], nEvents=8.04967
42: E=1.95 [GeV], nEvents=8.28421
43: E=2.07 [GeV], nEvents=7.79209
44: E=2.2 [GeV], nEvents=7.96098
45: E=2.33 [GeV], nEvents=7.45507
46: E=2.48 [GeV], nEvents=8.08477
47: E=2.62 [GeV], nEvents=7.07268
48: E=2.78 [GeV], nEvents=7.59305
49: E=2.94 [GeV], nEvents=7.09035
50: E=3.12 [GeV], nEvents=7.46335
51: E=3.3 [GeV], nEvents=6.98082
52: E=3.49 [GeV], nEvents=6.87832
53: E=3.69 [GeV], nEvents=6.30802
54: E=4.12 [GeV], nEvents=11.7627
55: E=4.59 [GeV], nEvents=11.1151
56: E=5.11 [GeV], nEvents=10.5989
57: E=5.68 [GeV], nEvents=10.07
58: E=6.3 [GeV], nEvents=9.42213
59: E=6.99 [GeV], nEvents=9.018
60: E=7.74 [GeV], nEvents=8.4378
61: E=8.57 [GeV], nEvents=8.02925
62: E=9.48 [GeV], nEvents=7.55007
63: E=10.48 [GeV], nEvents=7.14086
64: E=11.57 [GeV], nEvents=6.70603
65: E=12.77 [GeV], nEvents=6.36139
66: E=14.09 [GeV], nEvents=5.98865
67: E=15.54 [GeV], nEvents=5.66942
68: E=17.12 [GeV], nEvents=5.35634
69: E=18.86 [GeV], nEvents=5.09643
70: E=20.76 [GeV], nEvents=4.84438
