0 	1 	7.251288e+12 	489975
1 	2 	3.365156e+12 	227386
2 	3 	1.529960e+12 	103381
3 	4 	8.184657e+11 	55305
4 	5 	4.908475e+11 	33167
5 	6 	3.178933e+11 	21481
6 	7 	2.170618e+11 	14668
7 	8 	1.555227e+11 	10509
8 	9 	1.158015e+11 	7825
9 	10 	8.901485e+10 	6015
10 	11 	7.131137e+10 	4819
11 	12 	5.583035e+10 	3773
12 	13 	4.328182e+10 	2925
13 	14 	3.634145e+10 	2456
14 	15 	3.168362e+10 	2141
15 	16 	2.707362e+10 	1830
16 	17 	2.204982e+10 	1490
17 	18 	1.801873e+10 	1218
18 	19 	1.567318e+10 	1060
19 	20 	1.376163e+10 	930
20 	21 	1.210910e+10 	819
21 	22 	1.074658e+10 	727
22 	23 	9.508952e+09 	643
23 	24 	8.391179e+09 	567
24 	25 	7.342410e+09 	497
25 	26 	6.474283e+09 	438
26 	27 	5.919943e+09 	401
27 	28 	5.382820e+09 	364
28 	29 	4.990962e+09 	338
29 	30 	4.642782e+09 	314
30 	31 	4.296610e+09 	291
31 	32 	3.959316e+09 	268
32 	33 	3.623076e+09 	245
33 	34 	3.303250e+09 	224
34 	35 	3.061561e+09 	207
35 	36 	2.830006e+09 	192
36 	37 	2.600075e+09 	176
37 	38 	2.405887e+09 	163
38 	39 	2.226321e+09 	151
39 	40 	2.046755e+09 	139
40 	41 	1.880773e+09 	128
41 	42 	1.768668e+09 	120
42 	43 	1.662117e+09 	113
43 	44 	1.555565e+09 	106
44 	45 	5.485535e+08 	38
