E, GeV	Flux >E, particles/m^2 sr s 
0.082   1334.967
0.095   1382.404
0.105   1462.203
0.110   1682.318
0.120   1816.430
0.130   2040.187
0.150   2343.113
0.160   2185.130
0.170   2302.665
0.190   2484.283
0.210   2469.407
0.220   2404.784
0.240   2452.868
0.260   2587.382
0.290   2660.621
0.310   2614.418
0.340   2600.506
0.360   2549.032
0.390   2443.305
0.430   2393.106
0.460   2328.825
0.500   2201.917
0.540   2232.442
0.580   2110.885
0.620   2013.549
0.670   1843.377
0.720   1802.870
0.770   1749.204
0.830   1570.682
0.890   1500.112
0.960   1409.334
1.020   1335.055
1.090   1194.435
1.170   1130.494
1.250   1043.878
1.340   938.592
1.420   895.874
1.520   818.801
1.620   741.816
1.720   673.281
1.830   631.863
1.950   575.142
2.070   519.375
2.200   468.252
2.330   442.058
2.480   382.832
2.620   346.394
2.780   317.209
2.940   295.253
3.120   262.302
3.300   238.599
3.490   204.508
3.690   178.114
4.120   150.564
4.590   117.786
5.110   94.763
5.680   74.839
6.300   59.473
6.990   45.962
7.740   37.064
8.570   28.753
9.480   22.697
10.48   18.376
11.57   13.985
12.77   10.229
14.09   8.623
15.54   6.927
17.12   4.854
18.86   3.811
20.76   2.998
22.85   2.332
25.15   1.712
27.66   1.358
30.42   1.111
33.44   0.850
36.75   0.653
40.39   0.485
44.37   0.376
