E, GeV	Flux >E, particles/m^2 sr s 
0.082   164.583
0.095   181.962
0.105   199.548
0.110   205.254
0.120   223.106
0.130   286.300
0.150   309.547
0.160   287.579
0.170   322.769
0.190   314.053
0.210   322.497
0.220   347.635
0.240   395.317
0.260   411.836
0.290   420.169
0.310   465.419
0.340   460.405
0.360   476.739
0.390   500.676
0.430   512.399
0.460   540.540
0.500   571.107
0.540   518.287
0.580   546.131
0.620   532.933
0.670   556.023
0.720   542.074
0.770   567.905
0.830   548.560
0.890   537.129
0.960   507.792
1.020   525.093
1.090   511.695
1.170   480.355
1.250   469.432
1.340   465.878
1.420   428.841
1.520   411.672
1.620   382.659
1.720   375.139
1.830   348.823
1.950   346.174
2.070   316.716
2.200   293.339
2.330   272.463
2.480   258.542
2.620   241.663
2.780   218.276
2.940   206.426
3.120   191.244
3.300   170.347
3.490   155.731
3.690   136.054
4.120   115.714
4.590   92.180
5.110   79.408
5.680   62.411
6.300   50.251
6.990   40.426
7.740   33.508
8.570   25.380
9.480   20.517
10.48   16.431
11.57   13.135
12.77   10.221
14.09   7.718
15.54   6.095
17.12   4.840
18.86   3.805
20.76   3.044
22.85   2.307
25.15   1.753
27.66   1.445
30.42   1.116
33.44   0.787
36.75   0.607
40.39   0.460
44.37   0.386
